CODIGO,NOME,ABREVIACAO,UF,ATIVO
1100015,Alta Floresta D'Oeste,A. Floresta Doeste,RO,1
1100023,Ariquemes,Ariquemes,RO,1
1100031,Cabixi,Cabixi,RO,1
1100049,Cacoal,Cacoal,RO,1
1100056,Cerejeiras,Cerejeiras,RO,1
1100064,Colorado do Oeste,Colorado do Oeste,RO,1
1100072,Corumbiara,Corumbiara,RO,1
1100080,Costa Marques,Costa Marques,RO,1
1100098,Espigão D'Oeste,Espigão D'Oeste,RO,1
1100106,Guajará-Mirim,Guajará-Mirim,RO,1
1100114,Jaru,Jaru,RO,1
1100122,Ji-Paraná,Ji-Paraná,RO,1
1100130,Machadinho D'Oeste,Machadinho D'Oeste,RO,1
1100148,Nova Brasilândia D'Oeste,N.Brasilândia Doeste,RO,1
1100155,Ouro Preto do Oeste,Ouro Preto do Oeste,RO,1
1100189,Pimenta Bueno,Pimenta Bueno,RO,1
1100205,Porto Velho,Porto Velho,RO,1
1100254,Presidente Médici,Presidente Médici,RO,1
1100262,Rio Crespo,Rio Crespo,RO,1
1100288,Rolim de Moura,Rolim de Moura,RO,1
1100296,Santa Luzia D'Oeste,Santa Luzia D'Oeste,RO,1
1100304,Vilhena,Vilhena,RO,1
1100320,São Miguel do Guaporé,São Miguel do Guaporé,RO,1
1100338,Nova Mamoré,Nova Mamoré,RO,1
1100346,Alvorada D'Oeste,Alvorada D'Oeste,RO,1
1100379,Alto Alegre dos Parecis,A. Alegre Parecis,RO,1
1100403,Alto Paraíso,Alto Paraíso,RO,1
1100452,Buritis,Buritis,RO,1
1100502,Novo Horizonte do Oeste,N. Horizonte Oeste,RO,1
1100601,Cacaulândia,Cacaulândia,RO,1
1100700,Campo Novo de Rondônia,Campo Novo Rondônia,RO,1
1100809,Candeias do Jamari,Candeias do Jamari,RO,1
1100908,Castanheiras,Castanheiras,RO,1
1100924,Chupinguaia,Chupinguaia,RO,1
1100940,Cujubim,Cujubim,RO,1
1101005,Governador Jorge Teixeira,Gov. Jorge Teixeira,RO,1
1101104,Itapuã do Oeste,Itapuã do Oeste,RO,1
